user_id,master_id,rating
velove,124609,5
velove,1163349,5
la-voie-du-sabre,64072,5
la-voie-du-sabre,106804,5
la-voie-du-sabre,24312,5
la-voie-du-sabre,393447,5
la-voie-du-sabre,40522,5
la-voie-du-sabre,17517,5
la-voie-du-sabre,121235,5
la-voie-du-sabre,136375,5
la-voie-du-sabre,121243,5
la-voie-du-sabre,121234,5
la-voie-du-sabre,4276,5
la-voie-du-sabre,50622,5
la-voie-du-sabre,58455,5
la-voie-du-sabre,203739,5
la-voie-du-sabre,3224,5
la-voie-du-sabre,33756,5
la-voie-du-sabre,64072,5
la-voie-du-sabre,106804,5
la-voie-du-sabre,24312,5
la-voie-du-sabre,393447,5
la-voie-du-sabre,40522,5
la-voie-du-sabre,17517,5
la-voie-du-sabre,121235,5
la-voie-du-sabre,136375,5
la-voie-du-sabre,121243,5
la-voie-du-sabre,121234,5
la-voie-du-sabre,4276,5
la-voie-du-sabre,50622,5
la-voie-du-sabre,58455,5
la-voie-du-sabre,203739,5
la-voie-du-sabre,3224,5
la-voie-du-sabre,33756,5
la-voie-du-sabre,56437,5
la-voie-du-sabre,422713,5
la-voie-du-sabre,198507,5
la-voie-du-sabre,198411,5
la-voie-du-sabre,56634,5
la-voie-du-sabre,4722,4
la-voie-du-sabre,400768,4
la-voie-du-sabre,371079,4
la-voie-du-sabre,70748,4
la-voie-du-sabre,59367,4
la-voie-du-sabre,143493,4
la-voie-du-sabre,31211,4
la-voie-du-sabre,386753,4
la-voie-du-sabre,93247,4
la-voie-du-sabre,152340,4
la-voie-du-sabre,266198,4
la-voie-du-sabre,25274,4
la-voie-du-sabre,23943,4
la-voie-du-sabre,22163,4
la-voie-du-sabre,71676,4
la-voie-du-sabre,30029,4
la-voie-du-sabre,122104,4
la-voie-du-sabre,78691,4
la-voie-du-sabre,90968,4
la-voie-du-sabre,34177,4
la-voie-du-sabre,261818,4
la-voie-du-sabre,105605,4
la-voie-du-sabre,284594,4
la-voie-du-sabre,29211,4
la-voie-du-sabre,76425,4
la-voie-du-sabre,57743,4
la-voie-du-sabre,49948,4
la-voie-du-sabre,53956,4
la-voie-du-sabre,750354,4
la-voie-du-sabre,1160,4
la-voie-du-sabre,130322,4
la-voie-du-sabre,30524,4
la-voie-du-sabre,31315,4
la-voie-du-sabre,63364,4
la-voie-du-sabre,83335,4
la-voie-du-sabre,49246,3
la-voie-du-sabre,60972,3
la-voie-du-sabre,1517,3
la-voie-du-sabre,11812,3
la-voie-du-sabre,133927,3
la-voie-du-sabre,12905,3
discosanddragons,568406,5
discosanddragons,1139784,5
discosanddragons,901707,5
discosanddragons,952529,5
discosanddragons,168329,5
discosanddragons,568406,5
discosanddragons,1139784,5
discosanddragons,901707,5
discosanddragons,952529,5
discosanddragons,168329,5
discosanddragons,1151529,5
discosanddragons,174924,5
discosanddragons,701573,5
discosanddragons,1430019,5
discosanddragons,551200,5
discosanddragons,382070,5
discosanddragons,1517215,5
discosanddragons,551161,5
discosanddragons,553637,5
discosanddragons,553637,5
discosanddragons,115919,5
discosanddragons,310868,5
discosanddragons,380811,4
discosanddragons,178639,4
discosanddragons,1298276,4
discosanddragons,1298276,4
discosanddragons,1052292,4
discosanddragons,1200453,4
discosanddragons,1167846,4
discosanddragons,557081,4
discosanddragons,94972,4
discosanddragons,451966,4
discosanddragons,1054201,4
discosanddragons,1231039,4
discosanddragons,1067516,4
discosanddragons,599996,4
discosanddragons,701151,4
discosanddragons,556778,4
discosanddragons,1385917,4
discosanddragons,171952,4
discosanddragons,105350,4
discosanddragons,363284,4
discosanddragons,557711,4
discosanddragons,497305,4
discosanddragons,669717,4
discosanddragons,551004,4
discosanddragons,1138302,4
discosanddragons,1256800,4
discosanddragons,1276947,4
discosanddragons,1437681,4
discosanddragons,1244164,4
discosanddragons,970636,4
discosanddragons,696195,4
discosanddragons,585467,4
discosanddragons,1453021,4
discosanddragons,1212992,4
discosanddragons,395472,4
discosanddragons,185342,4
discosanddragons,229952,4
discosanddragons,151639,4
discosanddragons,853977,4
discosanddragons,1540694,3
discosanddragons,1020447,3
discosanddragons,551666,3
discosanddragons,1232997,3
discosanddragons,1310284,3
discosanddragons,1543726,3
discosanddragons,31381,3
discosanddragons,654102,3
discosanddragons,707781,3
discosanddragons,326223,3
discosanddragons,223383,3
discosanddragons,686731,3
discosanddragons,1432764,3
discosanddragons,178130,3
discosanddragons,429942,3
discosanddragons,1315584,3
Vinyl.Score,247226,5
Vinyl.Score,247226,5
Vinyl.Score,408072,4
Vinyl.Score,72009,4
Vinyl.Score,27722,4
Vinyl.Score,71215,4
Vinyl.Score,373240,4
Vinyl.Score,1061996,4
Vinyl.Score,158106,3
7_Sea_Cods,123166,5
7_Sea_Cods,500183,5
7_Sea_Cods,1406908,5
7_Sea_Cods,1118721,5
7_Sea_Cods,123166,5
7_Sea_Cods,500183,5
7_Sea_Cods,1406908,5
7_Sea_Cods,1118721,5
7_Sea_Cods,1525458,3
7_Sea_Cods,728261,3
7_Sea_Cods,405012,3
7_Sea_Cods,708692,3
7_Sea_Cods,836321,3
7_Sea_Cods,467563,2
7_Sea_Cods,918590,2
7_Sea_Cods,643978,2
7_Sea_Cods,974313,2
7_Sea_Cods,1050577,2
DIFFO,75241,5
DIFFO,110449,5
DIFFO,14557,5
DIFFO,3762,5
DIFFO,27539,5
DIFFO,12214,5
DIFFO,29647,5
DIFFO,116530,5
DIFFO,136749,5
DIFFO,175355,5
DIFFO,143997,5
DIFFO,40703,5
DIFFO,50283,5
DIFFO,75681,5
DIFFO,20910,5
DIFFO,75241,5
DIFFO,110449,5
DIFFO,14557,5
DIFFO,3762,5
DIFFO,27539,5
DIFFO,12214,5
DIFFO,29647,5
DIFFO,116530,5
DIFFO,136749,5
DIFFO,175355,5
DIFFO,143997,5
DIFFO,40703,5
DIFFO,50283,5
DIFFO,75681,5
DIFFO,20910,5
DIFFO,20977,5
DIFFO,30085,5
DIFFO,120358,5
DIFFO,689409,5
DIFFO,70993,5
DIFFO,52822,5
DIFFO,91917,5
DIFFO,88005,5
DIFFO,228889,5
DIFFO,107597,5
DIFFO,112747,5
DIFFO,98715,5
DIFFO,32621,4
DIFFO,26286,4
DIFFO,427886,4
DIFFO,99666,4
DIFFO,357158,4
DIFFO,232370,4
DIFFO,441811,4
DIFFO,1118721,4
DIFFO,128325,4
DIFFO,94796,3
DIFFO,6760,3
DIFFO,155540,3
DIFFO,34209,3
DIFFO,90423,2
bigbullyweedave,854342,5
bigbullyweedave,724630,5
bigbullyweedave,604694,5
bigbullyweedave,887091,5
bigbullyweedave,81399,5
bigbullyweedave,50569,5
bigbullyweedave,542044,5
bigbullyweedave,199753,5
bigbullyweedave,401157,5
bigbullyweedave,47256,5
bigbullyweedave,531381,5
bigbullyweedave,402990,5
bigbullyweedave,846836,5
bigbullyweedave,111732,5
bigbullyweedave,1254674,5
bigbullyweedave,551528,5
bigbullyweedave,718985,5
bigbullyweedave,686544,5
bigbullyweedave,209457,5
bigbullyweedave,1371182,5
bigbullyweedave,1070847,4
bigbullyweedave,416933,4
bigbullyweedave,39519,4
bigbullyweedave,142429,4
bigbullyweedave,1014157,4
bigbullyweedave,249132,4
bigbullyweedave,484294,4
bigbullyweedave,481334,4
bigbullyweedave,116186,4
bigbullyweedave,418269,4
bigbullyweedave,1161602,4
bigbullyweedave,249515,4
bigbullyweedave,455109,4
bigbullyweedave,86127,4
bigbullyweedave,479283,4
bigbullyweedave,1484891,4
bigbullyweedave,132946,4
bigbullyweedave,540994,4
bigbullyweedave,57665,4
bigbullyweedave,9087,4
bigbullyweedave,408662,4
bigbullyweedave,564347,4
bigbullyweedave,425474,4
bigbullyweedave,404890,4
bigbullyweedave,401162,4
bigbullyweedave,856041,4
bigbullyweedave,466678,4
bigbullyweedave,1400617,4
bigbullyweedave,84699,4
bigbullyweedave,469057,4
bigbullyweedave,499964,4
bigbullyweedave,710425,4
bigbullyweedave,876861,4
bigbullyweedave,433107,4
bigbullyweedave,416831,4
bigbullyweedave,385496,4
bigbullyweedave,575135,4
bigbullyweedave,475934,4
bigbullyweedave,1450437,4
bigbullyweedave,637654,4
bigbullyweedave,97080,4
bigbullyweedave,854464,4
bigbullyweedave,399637,3
bigbullyweedave,648628,3
bigbullyweedave,86609,3
bigbullyweedave,62111,3
bigbullyweedave,873452,3
bigbullyweedave,262006,3
bigbullyweedave,204063,3
bigbullyweedave,470173,3
bigbullyweedave,71802,3
bigbullyweedave,1068404,3
bigbullyweedave,728525,3
bigbullyweedave,735134,3
bigbullyweedave,97138,3
bigbullyweedave,199532,3
bigbullyweedave,1186956,3
bigbullyweedave,9142,3
bigbullyweedave,74540,3
bigbullyweedave,1170126,3
bigbullyweedave,28845,3
bigbullyweedave,171346,3
bigbullyweedave,749550,3
bigbullyweedave,2102,3
bigbullyweedave,642609,3
bigbullyweedave,640693,3
bigbullyweedave,38871,3
bigbullyweedave,685664,3
bigbullyweedave,29006,3
bigbullyweedave,744031,3
bigbullyweedave,56303,3
bigbullyweedave,61131,3
bigbullyweedave,650084,2
Funkdigger91,121919,5
Funkdigger91,203647,5
Funkdigger91,60289,5
Funkdigger91,232559,5
Funkdigger91,1260601,5
Funkdigger91,75547,5
Funkdigger91,116080,5
Funkdigger91,223676,5
Funkdigger91,1374987,5
Funkdigger91,417055,5
Funkdigger91,314507,5
Funkdigger91,8912,5
Funkdigger91,229737,5
Funkdigger91,400040,5
Funkdigger91,19828,5
Funkdigger91,569011,5
Funkdigger91,283237,5
Funkdigger91,793446,5
Funkdigger91,296573,5
Funkdigger91,1299637,4
Funkdigger91,1452535,4
Funkdigger91,721120,4
Funkdigger91,1523946,4
Funkdigger91,904983,4
Funkdigger91,177206,4
Funkdigger91,310987,4
Funkdigger91,870941,4
Funkdigger91,99378,4
Funkdigger91,773230,4
Funkdigger91,554171,4
Funkdigger91,583259,4
newman58,459205,5
newman58,833012,5
newman58,459205,5
newman58,833012,5
newman58,1043063,5
newman58,624643,5
newman58,396589,4
newman58,770413,4
newman58,1214156,4
newman58,563171,3
newman58,640406,3
newman58,1336750,3
